展位号,团队名称,学校名称,主题
1,环保特工队,上海市宝山区大华第二小学,盒你一起循环
2,葵宝创,上海市普陀区曹杨新村第六小学,玩具新生
3,七彩星,上海市普陀区新普陀小学西校,落叶特工队
4,小恒星,上海市普陀区新普陀小学西校,盒你一起循环
5,聪慧小队,上海市第一师范学校附属小学,盒你一起循环
6,满分主理人小队,上海市第一师范学校附属小学,零废弃校园
7,摇篮梦想队,上海市杨浦区打虎山路第一小学,盒你一起循环
8,零废先锋队,上海市闵行区七宝明强第二小学,零废弃校园
9,循环小队,上海市闵行区七宝明强第二小学,玩具新生
10,三人行·创变行,上海师范大学附属黄浦梅溪小学,盒你一起循环
11,巧手清洁小队,上海师范大学附属黄浦梅溪小学,其他：自动扫灰簸箕
12,汽趣城"小小创变家",上海市闵行区汽轮科技实验小学,盒你一起循环
13,逐梦飞翔小组,上海市干巷学校,盒你一起循环
14,拾光小分队,上海市嘉定区华亭学校,落叶特工队
15,三叶草小队,上海世外教育附属浦江外国语学校,其他：旧物焕新、暖心筑巢
16,好奇者,常州市武进清英外国语学校,玩具新生
17,向阳小队,常州市武进区政平小学,其他：笔墨新生
18,趣味环保“盒”你在一起,上海市杨浦区怀德路第一小学,盒你一起循环
19,秋叶宝藏唤醒团,上海对外经贸大学附属松江实验学校,落叶特工队
20,拾秋小队,上海市闵行区君莲学校,落叶特工队
21,循环生态实践小队,上海市闵行区君莲学校,盒你一起循环
22,沪博风雨无阻队,上海戏剧学院附属浦东实验中学,上海博物馆东馆改造方案
23,康梧子衿,上海市浦东新区建平康梧中学,“雨”你同行自行车棚改造计划
24,仰韶小队,上海市闵行区田园外国语中学,可循环绿色车站
